SiteID,Active,SensorID,SensorName,StartDate,EndDate,DataType,UpperDepth,LowerDepth,Calibrated,Units
SFS_37,1,485,SFS62 - AWS Hagley_Soil-Moisture_800,2014-03-26T16:00:00.000Z,2016-05-13T02:59:39.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_36,1,486,SFS61 - AWS Campbell Town_Soil-Moisture_800,2013-06-13T17:45:00.000Z,2017-11-07T02:00:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_35,1,488,SFS54 - Hagley IrriCAC_Soil-Moisture_800,2016-06-09T08:07:49.000Z,2018-01-28T05:11:56.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_53,1,490,SFS103 - Mt Gow_Soil-Moisture_800,2017-04-24T03:00:00.000Z,2018-08-17T03:45:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_16,1,493,SFS106 - Mount Wallace_Soil-Moisture_800,2017-05-22T04:30:00.000Z,2018-08-23T01:30:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_54,1,496,SFS108 - Mannibadar_Soil-Moisture_800,2017-06-01T10:00:00.000Z,2018-10-08T06:00:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_72,1,497,SFS110 - Lindenow Flats_Soil-Moisture_800,2017-08-31T14:15:00.000Z,2018-07-28T01:15:31.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_51,1,498,SFS55 - Campbell Town_Soil-Moisture_800,2017-11-16T03:45:00.000Z,2017-11-30T21:45:00.000Z,Soil-Moisture,800,800,TRUE,mm
SFS_10,1,723,SFS32 - Tatyoon2_Soil-Temperature_300,2013-05-01T05:23:51.000Z,2019-07-14T23:45:00.000Z,Soil-Temperature,300,300,TRUE,Degrees-Celcius
SFS_26,1,504,SFS3 - Winchelsea1_Soil-Moisture_900,2013-05-04T15:00:00.000Z,2018-11-13T07:00:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_27,1,505,SFS6 - Lake Bolac2_Soil-Moisture_900,2012-08-29T05:15:00.000Z,2015-04-01T02:08:57.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_53,1,957,SFS103 - Mt Gow_Soil-Temperature_600,2017-04-18T04:00:00.000Z,2019-07-14T23:45:00.000Z,Soil-Temperature,600,600,TRUE,Degrees-Celcius
SFS_17,1,507,SFS11 - Ballan1_Soil-Moisture_900,2013-12-14T14:00:00.000Z,2018-08-23T02:00:00.000Z,Soil-Moisture,900,900,TRUE,mm
SFS_15,1,510,SFS13 - Lethbridge_Soil-Moisture_900,2013-04-19T14:15:00.000Z,2018-08-17T03:30:00.000Z,Soil-Moisture,900,900,TRUE,mm
